borehole_id,borehole_type,total_surviving_fio_load,Q_L_per_day,concentration_CFU_per_L
privbh_10905,private,101770870393.43294,2000.0,50885435.19671647
privbh_10906,private,25373167818.942245,2000.0,12686583.909471123
privbh_10907,private,12684862158.033718,2000.0,6342431.079016859
privbh_10910,private,114096376539.79231,2000.0,57048188.26989616
privbh_10911,private,101597444222.53589,2000.0,50798722.11126795
privbh_10912,private,12693343347.831861,2000.0,6346671.673915931
privbh_10916,private,12674889275.032045,2000.0,6337444.637516023
privbh_10918,private,101768383380.19942,2000.0,50884191.69009971
privbh_10926,private,102089939442.82304,2000.0,51044969.72141152
privbh_10927,private,25387678784.265644,2000.0,12693839.392132822
privbh_10929,private,12677899673.47846,2000.0,6338949.83673923
privbh_1093,private,126772400768.37381,2000.0,63386200.38418691
privbh_10930,private,126896200978.41081,2000.0,63448100.489205405
privbh_10932,private,25521778810.41959,2000.0,12760889.405209795
privbh_10933,private,12737178583.37587,2000.0,6368589.291687935
privbh_10935,private,101542245710.97197,2000.0,50771122.85548598
privbh_10940,private,12704461959.914005,2000.0,6352230.979957002
privbh_10945,private,12682715742.606674,2000.0,6341357.871303337
privbh_10957,private,12690881374.741877,2000.0,6345440.687370938
privbh_10959,private,101452198434.68529,2000.0,50726099.217342645
privbh_1096,private,12715346845.599123,2000.0,6357673.422799561
privbh_10961,private,101771249350.334,2000.0,50885624.675167
privbh_10962,private,127585200816.6741,2000.0,63792600.40833705
privbh_10965,private,12680855461.875519,2000.0,6340427.730937759
privbh_10966,private,101632638044.46516,2000.0,50816319.022232585
privbh_10968,private,12729271105.409786,2000.0,6364635.552704893
privbh_1097,private,255420692025.91934,2000.0,127710346.01295967
privbh_10995,private,12673509844.729876,2000.0,6336754.922364938
privbh_1100,private,12725384338.438,2000.0,6362692.169219
privbh_11003,private,12672763983.64219,2000.0,6336381.991821095
privbh_11005,private,12674383659.45314,2000.0,6337191.82972657
privbh_11020,private,12756601699.446669,2000.0,6378300.849723334
privbh_11024,private,25401580789.094357,2000.0,12700790.394547177
privbh_11026,private,127019887088.32884,2000.0,63509943.54416442
privbh_11033,private,25420871641.92684,2000.0,12710435.82096342
privbh_11035,private,12690356390.115496,2000.0,6345178.195057748
privbh_11058,private,12686115391.92269,2000.0,6343057.695961345
privbh_11064,private,12745161565.78215,2000.0,6372580.782891075
privbh_11069,private,12748106750.42871,2000.0,6374053.375214355
privbh_11070,private,25445517811.399826,2000.0,12722758.905699912
privbh_11072,private,12742264024.166386,2000.0,6371132.012083193
privbh_11079,private,127046981778.02583,2000.0,63523490.88901292
privbh_11082,private,126826019430.05307,2000.0,63413009.715026535
