borehole_id,borehole_type,Q_L_per_day,total_surviving_fio_load,concentration_CFU_per_100mL,lat,long
privbh_1022,private,2000.0,220721223163.50708,11036061.158175353,-6.1469807,39.2387902
privbh_10220,private,2000.0,477980210139.0454,23899010.50695227,-6.2048222,39.2111623
privbh_10221,private,2000.0,478479641334.9765,23923982.066748824,-6.2048267,39.2111633
privbh_10222,private,2000.0,534677942431.05194,26733897.121552598,-6.2048762,39.2105186
privbh_10223,private,2000.0,375082677838.79565,18754133.89193978,-6.2046047,39.2100048
privbh_10224,private,2000.0,450003121120.8604,22500156.05604302,-6.204352,39.2104075
privbh_10225,private,2000.0,533642984434.0912,26682149.22170456,-6.2042817,39.2106533
privbh_10226,private,2000.0,536025698982.4541,26801284.949122705,-6.2043002,39.2106463
privbh_10227,private,2000.0,588407963829.8052,29420398.191490255,-6.2042643,39.2108959
privbh_10228,private,571.4285714285714,448258061616.9116,78445160.78295954,-6.2043557,39.2110075
privbh_10229,private,3000.0,600700342067.8867,20023344.735596225,-6.2043351,39.2115253
